도형아이디,시도명,시군구명,읍면동명,법정동명,지번,도로명,건물번호,통정보,건물명,동정보,호정보,등본주소,계약주소,준공일,입주형태,지번주소,기준년도,년도값,공간아이디,면적,등급,공간정보,longitude,latitude
61427,서울특별시,강동구,암사1동,암사동,433-119,구천면로59길,01월 18일,30통,\N,\N,\N,서울특별시 강동구 암사1동 433-119,서울특별시 강동구 암사동 433-119번지,1990-06-19,단독주택,서울특별시 강동구 암사동 433-119번지,2012-01-01,2012,399,0,3,POINT (127.137746469648 37.5510504038777),127.137746469648,37.5510504038777
25800,경기도,광명시,하안1동,하안동,601-17,안재로10번길,11월 01일,11통,\N,\N,102,경기도 광명시 하안1동 601-17,경기도 광명시 하안동 601-17번지,1992-06-25,다가구주택,경기도 광명시 하안동 601-17번지,2010-09-21,2010,1662,178021.352,2,POINT (126.873034232703 37.4599348834995),126.873034232703,37.4599348834995
61428,서울특별시,강동구,암사1동,암사동,433-119,구천면로59길,01월 18일,30통,\N,\N,\N,서울특별시 강동구 암사1동 433-119,서울특별시 강동구 암사동 433-119번지,1990-06-19,단독주택,서울특별시 강동구 암사동 433-119번지,2012-01-01,2012,399,0,3,POINT (127.137746469648 37.5510504038777),127.137746469648,37.5510504038777
25801,경기도,광명시,하안1동,하안동,601-17,안재로10번길,11월 01일,11통,\N,\N,103,경기도 광명시 하안1동 601-17,경기도 광명시 하안동 601-17번지,1992-06-25,다가구주택,경기도 광명시 하안동 601-17번지,2010-09-21,2010,1662,178021.352,2,POINT (126.873034232703 37.4599348834995),126.873034232703,37.4599348834995
62307,서울특별시,강동구,암사1동,암사동,469-15,암사길,02월 23일,7통,\N,\N,B,서울특별시 강동구 암사1동 469-15,서울특별시 강동구 암사동 469-15번지,1998-02-23,다가구주택,서울특별시 강동구 암사동 469-15번지,2012-01-01,2012,408,0,3,POINT (127.131931105224 37.5519219960794),127.131931105224,37.5519219960794
62308,서울특별시,강동구,암사1동,암사동,469-15,암사길,02월 23일,7통,\N,\N,B02,서울특별시 강동구 암사1동 469-15,서울특별시 강동구 암사동 469-15번지,1998-02-23,다가구주택,서울특별시 강동구 암사동 469-15번지,2012-01-01,2012,408,0,3,POINT (127.131931105224 37.5519219960794),127.131931105224,37.5519219960794
63662,서울특별시,강동구,암사1동,암사동,494-38,암사길,02월 06일,9통,\N,\N,B101,서울특별시 강동구 암사1동 494-38,서울특별시 강동구 암사동 494-38번지,1984-03-15,단독주택,서울특별시 강동구 암사동 494-38번지,2012-01-01,2012,423,0,3,POINT (127.130196973276 37.5503922149308),127.130196973276,37.5503922149308
15009,경기도,부천시오정구,고강본동,고강동,370-3,고리울로,\N,3통,부영빌라,1,B01,경기도 부천시오정구 고강본동 370-3,경기도 부천시 고강동 370-3번지,1990-01-13,다세대주택,경기도 부천시 고강동 370-3번지,2011-07-27,2011,3346,244.740082,2,POINT (126.817406055898 37.5276086514479),126.817406055898,37.5276086514479
25802,경기도,광명시,하안1동,하안동,601-18,안재로10번길,11,11통,\N,\N,101,경기도 광명시 하안1동 601-18,경기도 광명시 하안동 601-18번지,1995-05-20,다가구주택,경기도 광명시 하안동 601-18번지,2010-09-21,2010,1662,178021.352,2,POINT (126.872921328467 37.4598626314941),126.872921328467,37.4598626314941
65376,서울특별시,강동구,천호2동,천호동,337-82,선사로10길,12,9통,\N,\N,101,서울특별시 강동구 천호2동 337-82,서울특별시 강동구 천호동 337-82번지,1988-08-23,단독주택,서울특별시 강동구 천호동 337-82번지,2012-01-01,2012,416,0,3,POINT (127.121438135915 37.5435178808605),127.121438135915,37.5435178808605
3405,경기도,부천시원미구,심곡1동,심곡동,370-10,장말로351번길,18,7통,\N,\N,\N,경기도 부천시원미구 심곡1동 370-10,경기도 부천시 심곡동 370-10번지,1988-06-03,단독주택,경기도 부천시 심곡동 370-10번지,2010-09-21,2010,1924,105.473192,2,POINT (126.781389856144 37.4911199219018),126.781389856144,37.4911199219018
15010,경기도,부천시오정구,고강본동,고강동,370-3,고리울로,14,3통,부영빌라,1,B02,경기도 부천시오정구 고강본동 370-3,경기도 부천시 고강동 370-3번지,1990-01-13,다세대주택,경기도 부천시 고강동 370-3번지,2011-07-27,2011,3346,244.740082,2,POINT (126.817406055898 37.5276086514479),126.817406055898,37.5276086514479
